coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,main_temp_celsius,main_temp_fahrenheit,main_feels_like_celsius,main_feels_like_fahrenheit,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,sys_sunrise_time,timezone,id,name,cod
78.1667,11.65,804,Clouds,overcast clouds,04n,stations,297.09,298.05,297.09,297.09,1010,96,1010,978,23.939999999999998,75.092,24.900000000000034,76.82000000000006,10000,1.79,229,97,1722448624,,,IN,1722386070,1722431566,2024-07-31T06:04:30,19800,1257629,Salem,200
79.5833,18,804,Clouds,overcast clouds,04n,stations,299.01,299.9,299.01,299.01,1004,86,1004,975,25.860000000000014,78.54800000000003,26.75,80.15,10000,3.24,253,100,1722448624,,,IN,1722385183,1722431773,2024-07-31T05:49:43,19800,1252948,Warangal,200
80.45,16.3,804,Clouds,overcast clouds,04n,stations,302.41,306.86,302.41,302.41,1004,72,1004,1000,29.260000000000048,84.66800000000009,33.710000000000036,92.67800000000007,10000,2.15,228,100,1722448399,2,2083890,IN,1722385125,1722431415,2024-07-31T05:48:45,19800,1270668,Guntur,200
73.0667,19.3,804,Clouds,overcast clouds,04n,stations,301.07,306.48,301.07,301.07,1006,89,1006,1004,27.920000000000016,82.25600000000003,33.33000000000004,91.99400000000009,5424,4.01,229,97,1722448624,1,9052,IN,1722386630,1722433454,2024-07-31T06:13:50,19800,1275901,Bhiwandi,200
77.55,29.9667,502,Rain,heavy intensity rain,10n,stations,298.68,299.77,298.68,298.68,1000,95,1000,969,25.53000000000003,77.95400000000006,26.620000000000005,79.91600000000001,10000,5.05,137,98,1722448547,,,IN,1722384495,1722433437,2024-07-31T05:38:15,19800,1257806,Sahāranpur,200
75.6833,29.45,503,Rain,very heavy rain,10n,stations,306.23,313.23,306.23,306.23,997,62,997,973,33.08000000000004,91.54400000000007,40.08000000000004,104.14400000000008,10000,2.68,179,84,1722448444,,,IN,1722384999,1722433829,2024-07-31T05:46:39,19800,1270926,Gorakhpur,200
73.3,28.0167,501,Rain,moderate rain,10n,stations,308.32,313.83,308.32,308.32,997,49,997,971,35.170000000000016,95.30600000000004,40.68000000000001,105.22400000000002,10000,8.01,228,100,1722448625,,,IN,1722385725,1722434247,2024-07-31T05:58:45,19800,1275665,Bikaner,200
77.75,20.9333,500,Rain,light rain,10n,stations,298.34,299.32,298.34,298.34,1003,92,1003,965,25.189999999999998,77.342,26.170000000000016,79.10600000000002,5094,3.88,265,100,1722448625,,,IN,1722385356,1722432480,2024-07-31T05:52:36,19800,1278718,Amrāvati,200
77.33,28.58,502,Rain,heavy intensity rain,10n,stations,299.31,299.31,299.31,299.31,1000,87,1000,977,26.160000000000025,79.08800000000005,26.160000000000025,79.08800000000005,7969,5.66,123,100,1722448602,1,9165,IN,1722384698,1722433340,2024-07-31T05:41:38,19800,7279746,Noida,200
86.1833,22.8,501,Rain,moderate rain,10n,stations,301.05,307.27,301.05,301.05,1000,94,1000,981,27.900000000000034,82.22000000000006,34.120000000000005,93.41600000000001,2500,0,0,75,1722448331,1,9121,IN,1722383156,1722430633,2024-07-31T05:15:56,19800,1269300,Jamshedpur,200
81.4333,21.2167,501,Rain,moderate rain,10n,stations,299.22,299.22,299.22,299.22,1003,92,1003,969,26.07000000000005,78.9260000000001,26.07000000000005,78.9260000000001,7323,4.16,223,100,1722448477,1,9168,IN,1722384446,1722431623,2024-07-31T05:37:26,19800,1275971,Bhilai,200
85.8793,20.465,501,Rain,moderate rain,10n,stations,300.25,304.4,300.25,300.34,1001,92,1001,998,27.100000000000023,80.78000000000004,31.25,88.25,10000,2.75,230,100,1722448625,1,9113,IN,1722383448,1722430486,2024-07-31T05:20:48,19800,1273780,Cuttack,200
78.4167,27.15,501,Rain,moderate rain,10n,stations,306.21,312.82,306.21,306.21,999,60,999,981,33.06,91.50800000000001,39.670000000000016,103.40600000000003,10000,1.17,91,99,1722448564,,,IN,1722384587,1722432929,2024-07-31T05:39:47,19800,1271885,Firozabad,200
76.2602,9.9399,804,Clouds,overcast clouds,04n,stations,297.14,297.97,297.14,297.14,1012,91,1012,1011,23.99000000000001,75.18200000000002,24.82000000000005,76.6760000000001,10000,2.48,360,99,1722448363,1,9211,IN,1722386669,1722431882,2024-07-31T06:14:29,19800,1273874,Kochi,200
79.9667,14.4333,804,Clouds,overcast clouds,04n,stations,303.41,306.92,303.41,303.41,1005,62,1005,1002,30.260000000000048,86.46800000000009,33.77000000000004,92.78600000000007,10000,4.16,263,99,1722448625,,,IN,1722385403,1722431369,2024-07-31T05:53:23,19800,1261529,Nellore,200
72.15,21.7667,804,Clouds,overcast clouds,04n,stations,301.21,305.72,301.21,301.21,1003,82,1003,1000,28.060000000000002,82.50800000000001,32.57000000000005,90.62600000000009,10000,6.92,233,94,1722448625,,,IN,1722386623,1722433901,2024-07-31T06:13:43,19800,1276032,Bhavnagar,200
78.0437,30.3256,501,Rain,moderate rain,10n,stations,297.61,298.7,297.61,297.61,1002,99,1002,928,24.460000000000036,76.02800000000008,25.55000000000001,77.99000000000002,949,1.94,158,99,1722448626,,,IN,1722384336,1722433359,2024-07-31T05:35:36,19800,1273313,Dehradun,200
